DEBUG:root: 0: regs[a:7  ['cpy', 'a', 'b']
DEBUG:root: 5: regs[a:4076, b:2, d:482, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4077, b:2, d:482, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4077, b:2, d:482, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4077, b:2, d:482, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4078, b:2, d:482, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4078, b:2, d:482, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4078, b:2, d:482, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4078, b:2, d:481, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4078, b:2, d:481, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4078, b:2, d:481, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4079, b:2, d:481, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4079, b:2, d:481, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4079, b:2, d:481, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4080, b:2, d:481, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4080, b:2, d:481, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4080, b:2, d:481, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4080, b:2, d:480, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4080, b:2, d:480, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4080, b:2, d:480, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4081, b:2, d:480, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4081, b:2, d:480, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4081, b:2, d:480, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4082, b:2, d:480, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4082, b:2, d:480, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4082, b:2, d:480, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4082, b:2, d:479, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4082, b:2, d:479, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4082, b:2, d:479, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4083, b:2, d:479, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4083, b:2, d:479, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4083, b:2, d:479, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4084, b:2, d:479, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4084, b:2, d:479, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4084, b:2, d:479, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4084, b:2, d:478, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4084, b:2, d:478, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4084, b:2, d:478, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4085, b:2, d:478, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4085, b:2, d:478, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4085, b:2, d:478, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4086, b:2, d:478, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4086, b:2, d:478, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4086, b:2, d:478, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4086, b:2, d:477, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4086, b:2, d:477, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4086, b:2, d:477, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4087, b:2, d:477, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4087, b:2, d:477, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4087, b:2, d:477, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4088, b:2, d:477, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4088, b:2, d:477, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4088, b:2, d:477, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4088, b:2, d:476, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4088, b:2, d:476, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4088, b:2, d:476, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4089, b:2, d:476, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4089, b:2, d:476, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4089, b:2, d:476, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4090, b:2, d:476, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4090, b:2, d:476, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4090, b:2, d:476, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4090, b:2, d:475, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4090, b:2, d:475, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4090, b:2, d:475, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4091, b:2, d:475, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4091, b:2, d:475, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4091, b:2, d:475, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4092, b:2, d:475, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4092, b:2, d:475, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4092, b:2, d:475, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4092, b:2, d:474, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4092, b:2, d:474, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4092, b:2, d:474, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4093, b:2, d:474, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4093, b:2, d:474, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4093, b:2, d:474, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4094, b:2, d:474, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4094, b:2, d:474, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4094, b:2, d:474, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4094, b:2, d:473, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4094, b:2, d:473, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4094, b:2, d:473, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4095, b:2, d:473, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4095, b:2, d:473, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4095, b:2, d:473, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4096, b:2, d:473, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4096, b:2, d:473, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4096, b:2, d:473, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4096, b:2, d:472, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4096, b:2, d:472, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4096, b:2, d:472, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4097, b:2, d:472, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4097, b:2, d:472, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4097, b:2, d:472, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4098, b:2, d:472, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4098, b:2, d:472, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4098, b:2, d:472, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4098, b:2, d:471, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4098, b:2, d:471, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4098, b:2, d:471, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4099, b:2, d:471, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4099, b:2, d:471, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4099, b:2, d:471, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4100, b:2, d:471, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4100, b:2, d:471, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4100, b:2, d:471, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4100, b:2, d:470, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4100, b:2, d:470, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4100, b:2, d:470, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4101, b:2, d:470, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4101, b:2, d:470, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4101, b:2, d:470, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4102, b:2, d:470, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4102, b:2, d:470, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4102, b:2, d:470, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4102, b:2, d:469, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4102, b:2, d:469, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4102, b:2, d:469, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4103, b:2, d:469, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4103, b:2, d:469, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4103, b:2, d:469, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4104, b:2, d:469, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4104, b:2, d:469, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4104, b:2, d:469, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4104, b:2, d:468, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4104, b:2, d:468, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4104, b:2, d:468, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4105, b:2, d:468, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4105, b:2, d:468, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4105, b:2, d:468, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4106, b:2, d:468, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4106, b:2, d:468, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4106, b:2, d:468, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4106, b:2, d:467, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4106, b:2, d:467, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4106, b:2, d:467, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4107, b:2, d:467, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4107, b:2, d:467, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4107, b:2, d:467, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4108, b:2, d:467, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4108, b:2, d:467, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4108, b:2, d:467, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4108, b:2, d:466, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4108, b:2, d:466, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4108, b:2, d:466, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4109, b:2, d:466, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4109, b:2, d:466, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4109, b:2, d:466, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4110, b:2, d:466, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4110, b:2, d:466, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4110, b:2, d:466, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4110, b:2, d:465, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4110, b:2, d:465, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4110, b:2, d:465, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4111, b:2, d:465, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4111, b:2, d:465, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4111, b:2, d:465, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4112, b:2, d:465, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4112, b:2, d:465, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4112, b:2, d:465, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4112, b:2, d:464, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4112, b:2, d:464, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4112, b:2, d:464, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4113, b:2, d:464, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4113, b:2, d:464, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4113, b:2, d:464, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4114, b:2, d:464, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4114, b:2, d:464, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4114, b:2, d:464, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4114, b:2, d:463, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4114, b:2, d:463, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4114, b:2, d:463, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4115, b:2, d:463, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4115, b:2, d:463, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4115, b:2, d:463, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4116, b:2, d:463, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4116, b:2, d:463, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4116, b:2, d:463, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4116, b:2, d:462, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4116, b:2, d:462, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4116, b:2, d:462, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4117, b:2, d:462, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4117, b:2, d:462, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4117, b:2, d:462, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4118, b:2, d:462, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4118, b:2, d:462, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4118, b:2, d:462, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4118, b:2, d:461, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4118, b:2, d:461, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4118, b:2, d:461, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4119, b:2, d:461, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4119, b:2, d:461, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4119, b:2, d:461, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4120, b:2, d:461, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4120, b:2, d:461, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4120, b:2, d:461, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4120, b:2, d:460, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4120, b:2, d:460, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4120, b:2, d:460, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4121, b:2, d:460, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4121, b:2, d:460, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4121, b:2, d:460, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4122, b:2, d:460, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4122, b:2, d:460, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4122, b:2, d:460, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4122, b:2, d:459, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4122, b:2, d:459, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4122, b:2, d:459, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4123, b:2, d:459, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4123, b:2, d:459, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4123, b:2, d:459, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4124, b:2, d:459, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4124, b:2, d:459, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4124, b:2, d:459, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4124, b:2, d:458, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4124, b:2, d:458, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4124, b:2, d:458, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4125, b:2, d:458, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4125, b:2, d:458, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4125, b:2, d:458, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4126, b:2, d:458, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4126, b:2, d:458, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4126, b:2, d:458, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4126, b:2, d:457, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4126, b:2, d:457, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4126, b:2, d:457, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4127, b:2, d:457, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4127, b:2, d:457, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4127, b:2, d:457, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4128, b:2, d:457, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4128, b:2, d:457, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4128, b:2, d:457, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4128, b:2, d:456, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4128, b:2, d:456, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4128, b:2, d:456, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4129, b:2, d:456, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4129, b:2, d:456, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4129, b:2, d:456, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4130, b:2, d:456, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4130, b:2, d:456, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4130, b:2, d:456, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4130, b:2, d:455, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4130, b:2, d:455, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4130, b:2, d:455, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4131, b:2, d:455, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4131, b:2, d:455, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4131, b:2, d:455, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4132, b:2, d:455, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4132, b:2, d:455, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4132, b:2, d:455, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4132, b:2, d:454, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4132, b:2, d:454, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4132, b:2, d:454, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4133, b:2, d:454, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4133, b:2, d:454, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4133, b:2, d:454, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4134, b:2, d:454, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4134, b:2, d:454, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4134, b:2, d:454, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4134, b:2, d:453, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4134, b:2, d:453, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4134, b:2, d:453, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4135, b:2, d:453, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4135, b:2, d:453, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4135, b:2, d:453, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4136, b:2, d:453, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4136, b:2, d:453, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4136, b:2, d:453, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4136, b:2, d:452, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4136, b:2, d:452, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4136, b:2, d:452, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4137, b:2, d:452, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4137, b:2, d:452, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4137, b:2, d:452, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4138, b:2, d:452, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4138, b:2, d:452, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4138, b:2, d:452, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4138, b:2, d:451, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4138, b:2, d:451, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4138, b:2, d:451, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4139, b:2, d:451, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4139, b:2, d:451, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4139, b:2, d:451, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4140, b:2, d:451, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4140, b:2, d:451, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4140, b:2, d:451, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4140, b:2, d:450, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4140, b:2, d:450, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4140, b:2, d:450, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4141, b:2, d:450, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4141, b:2, d:450, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4141, b:2, d:450, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4142, b:2, d:450, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4142, b:2, d:450, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4142, b:2, d:450, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4142, b:2, d:449, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4142, b:2, d:449, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4142, b:2, d:449, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4143, b:2, d:449, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4143, b:2, d:449, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4143, b:2, d:449, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4144, b:2, d:449, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4144, b:2, d:449, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4144, b:2, d:449, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4144, b:2, d:448, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4144, b:2, d:448, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4144, b:2, d:448, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4145, b:2, d:448, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4145, b:2, d:448, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4145, b:2, d:448, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4146, b:2, d:448, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4146, b:2, d:448, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4146, b:2, d:448, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4146, b:2, d:447, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:4146, b:2, d:447, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:4146, b:2, d:447, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:4147, b:2, d:447, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:4147, b:2, d:447, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:4147, b:2, d:447, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:4148, b:2, d:447, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:4148, b:2, d:447, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:4148, b:2, d:447, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:4148, b:2, d:446, c:0  ['jnz', 'd', '-5']
